****************************************
Report : report_global_slack
Design : multdiv
Version: K-2015.06-SP3-2
Date   : Wed Apr 28 12:37:20 2021
****************************************

       Max_Rise      Max_Fall   Point
           0.77          0.71   ctrl/counter/output16_dff/q_reg/QN
              *             *   ctrl/counter/output32_dff/q_reg/D
           0.77          0.71   ctrl/counter/output32_dff/q_reg/SI
              *             *   ctrl/counter/output32_dff/q_reg/SE
           0.44             *   ctrl/counter/output32_dff/q_reg/CK
              *             *   ctrl/counter/output32_dff/q_reg/RN
           0.45          0.44   ctrl/counter/output32_dff/q_reg/Q
           0.76          0.70   ctrl/counter/output32_dff/q_reg/QN
          -2.28         -2.18   U795/A1
              *             *   U795/A2
          -2.18         -2.28   U795/ZN
           0.27          0.07   U796/A1
              *             *   U796/A2
           0.27          0.07   U796/ZN
          -2.12         -2.16   U1031/B1
          -2.23         -2.19   U1031/B2
          -2.24         -2.21   U1031/A
          -2.21         -2.24   U1031/ZN
              *             *   U1170/A
              *             *   U1170/ZN
              *             *   U1171/A
              *             *   U1171/ZN
              *             *   U1172/A
              *             *   U1172/ZN
              *             *   U1177/A
              *             *   U1177/ZN
              *             *   U1178/A
              *             *   U1178/ZN
              *             *   U1179/A
              *             *   U1179/ZN
              *             *   U1180/A
              *             *   U1180/ZN
              *             *   U1182/A
              *             *   U1182/ZN
              *             *   U1183/A
              *             *   U1183/ZN
              *             *   U1185/A
              *             *   U1185/ZN
           0.36          0.31   U175/A
           0.36          0.28   U175/B
           0.37          0.28   U175/ZN
              *             *   U176/A1
              *             *   U176/A2
           0.49          0.39   U176/B1
              *             *   U176/B2
           0.39          0.49   U176/ZN
              *             *   U213/A1
              *             *   U213/A2
              *             *   U213/A3
              *             *   U213/A4
              *             *   U213/ZN
              *             *   U218/A1
              *             *   U218/A2
              *             *   U218/A3
              *             *   U218/A4
              *             *   U218/ZN
              *             *   U224/A1
              *             *   U224/A2
              *             *   U224/A3
              *             *   U224/A4
              *             *   U224/ZN
              *             *   U235/A1
              *             *   U235/A2
              *             *   U235/A3
              *             *   U235/A4
              *             *   U235/ZN
          -0.69         -0.51   U312/A1
          -0.69         -0.54   U312/A2
          -0.54         -0.69   U312/ZN
          -2.13         -2.09   U643/A1
          -2.21         -2.24   U643/A2
          -2.24         -2.21   U643/ZN
